repo_name,path,f0_
ocg1/assetx,005_FlatPricingExt.sol,"balanceOf(address who);transfer(address to, uint256 value);Ownable();transferOwnership(address newOwner);times(uint a, uint b);divides(uint a, uint b);minus(uint a, uint b);plus(uint a, uint b);halt();unhalt();isFinalizeAgent();isSane();finalizeCrowdsale();allowance(address owner, address spender);transferFrom(address from, address to, uint256 value);approve(address spender, uint256 value);CrowdsaleExt(address _token, PricingStrategy _pricingStrategy, address _multisigWallet, uint _start, uint _end, uint _minimumFundingGoal, bool _isUpdatable, bool _isWhiteListed);investInternal(address receiver, uint128 customerId);preallocate(address receiver, uint fullTokens, uint weiPrice);investWithSignedAddress(address addr, uint128 customerId, uint8 v, bytes32 r, bytes32 s);investWithCustomerId(address addr, uint128 customerId);invest(address addr);buyWithSignedAddress(uint128 customerId, uint8 v, bytes32 r, bytes32 s);buyWithCustomerId(uint128 customerId);buy();finalize();setFinalizeAgent(FinalizeAgent addr);setRequireCustomerId(bool value);setRequireSignedAddress(bool value, address _signerAddress);setEarlyParicipantWhitelist(address addr, bool status, uint minCap, uint maxCap);setEarlyParicipantsWhitelist(address[] addrs, bool[] statuses, uint[] minCaps, uint[] maxCaps);updateEarlyParicipantWhitelist(address addr, address contractAddr, uint tokensBought);updateJoinedCrowdsales(address addr);setLastCrowdsale(address addr);clearJoinedCrowdsales();updateJoinedCrowdsalesMultiple(address[] addrs);setStartsAt(uint time);setEndsAt(uint time);setPricingStrategy(PricingStrategy _pricingStrategy);setMultisig(address addr);loadRefund();refund();isMinimumGoalReached();isFinalizerSane();isPricingSane();getState();setOwnerTestValue(uint val);isCrowdsale();isBreakingCap(uint weiAmount, uint tokenAmount, uint weiRaisedTotal, uint tokensSoldTotal);isBreakingInvestorCap(address receiver, uint tokenAmount);isCrowdsaleFull();assignTokens(address receiver, uint tokenAmount);isPricingStrategy();isSane(address crowdsale);isPresalePurchase(address purchaser);calculatePrice(uint value, uint weiRaised, uint tokensSold, address msgSender, uint decimals);FlatPricingExt(uint _oneTokenInWei, bool _isUpdatable);setLastCrowdsale(address addr);updateRate(uint newOneTokenInWei);calculatePrice(uint value, uint weiRaised, uint tokensSold, address msgSender, uint decimals)"
Opus-foundation/contracts,contracts/OpusDemoToken.sol,"OpusToken(address _multisig);start();halt();unhalt();buy();buyRecipient(address recipient);burn(uint256 _value);proposeFoundationTransfer(address newFoundation);cancelFoundationTransfer();acceptFoundationTransfer();setMultisig(address addr);transfer(address _to, uint256 _value, bytes _data);transfer(address _to, uint256 _value);transferFrom(address _from, address _to, uint256 _value);returnRate();perAddressCap();requestToken()"
GazeCoin/GazeCoinTokenContract,contracts/GazeCoinCrowdsale.sol,"balanceOf(address account);transfer(address to, uint value);transferFrom(address from, address to, uint value);approve(address spender, uint value);allowance(address owner, address spender);Owned();transferOwnership(address _newOwner);acceptOwnership();add(uint a, uint b);sub(uint a, uint b);mul(uint a, uint b);div(uint a, uint b);GazeCoin();balanceOf(address account);transfer(address to, uint tokens);approve(address spender, uint tokens);transferFrom(address from, address to, uint tokens);allowance(address owner, address spender );mint(address to, uint tokens);multiMint(address[] to, uint[] amount);GazeCoinCrowdsale();addToWhitelist(address[] addresses, uint[] amounts);addPrecommitment(address participant, uint tokens, uint ethers);proxyPayment(address contributor);finalise();transfer(address to, uint tokens);transferFrom(address from, address to, uint tokens)"
ethereum/solidity,test/libsolidity/syntaxTests/structs/recursion/recursive_struct_function_pointer.sol,f()
winsvega/solidity,test/libsolidity/syntaxTests/nameAndTypeResolution/200_integer_signed_exp_unsigned.sol,""
bryantwong/breadcoin,contract.sol,"initializeBread(uint breadSupply, string tokenName);sendBread(address recip, uint amount);proofOfWork(uint guess)"
crypto-coder/Tokens,Token_Contracts/contracts/TimeDecayingToken.sol,""
manojpramesh/solidity-contracts,contracts/darkdao.sol,"balanceOf(address _owner);transfer(address _to, uint256 _amount);transferFrom(address _from, address _to, uint256 _amount);approve(address _spender, uint256 _amount);balanceOf(address _owner);transfer(address _to, uint256 _amount);approve(address _spender, uint256 _amount);allowance(address _owner, address _spender);payOut(address _recipient, uint _amount);ManagedAccount(address _owner, bool _payOwnerOnly);payOut(address _recipient, uint _amount);createTokenProxy(address _tokenHolder);refund();divisor();createTokenProxy(address _tokenHolder);refund();divisor();receiveEther();newContract(address _newContract);changeAllowedRecipients(address _recipient, bool _allowed);changeProposalDeposit(uint _proposalDeposit);retrieveDAOReward(bool _toMembers);getMyReward();withdrawRewardFor(address _account);transferWithoutReward(address _to, uint256 _amount);halveMinQuorum();numberOfProposals();getNewDAOAddress(uint _proposalID);isBlocked(address _account);unblockMe();receiveEther();closeProposal(uint _proposalID);newContract(address _newContract);retrieveDAOReward(bool _toMembers);getMyReward();withdrawRewardFor(address _account);transfer(address _to, uint256 _value);transferWithoutReward(address _to, uint256 _value);transferFrom(address _from, address _to, uint256 _value);changeProposalDeposit(uint _proposalDeposit);changeAllowedRecipients(address _recipient, bool _allowed);isRecipientAllowed(address _recipient);actualBalance();minQuorum(uint _value);halveMinQuorum();createNewDAO(address _newCurator);numberOfProposals();getNewDAOAddress(uint _proposalID);isBlocked(address _account);unblockMe()"
ethereum/solidity,test/libsolidity/semanticTests/uninitializedFunctionPointer/uninitialized_internal_storage_function_legacy.sol,f()
coinstruct/coinstruct,CrowdFunding.sol,"cancel();launch();invest();refund();totalSupply();balanceOf(address _owner);transfer(address _to, uint256 _value);transferFrom(address _from, address _to, uint256 _value);approve(address _spender, uint256 _value);allowance(address _owner, address _spender)"
delneg/cryptogrip-contracts,compiled.sol,"balanceOf(address who);transfer(address to, uint256 value);mul(uint256 a, uint256 b);div(uint256 a, uint256 b);sub(uint256 a, uint256 b);add(uint256 a, uint256 b);transfer(address _to, uint256 _value);balanceOf(address _owner);allowance(address owner, address spender);transferFrom(address from, address to, uint256 value);approve(address spender, uint256 value);transferFrom(address _from, address _to, uint256 _value);approve(address _spender, uint256 _value);allowance(address _owner, address _spender);Ownable();transferOwnership(address newOwner);CryptoGripInitiative(uint tokenTotalAmount, uint startTime, uint endTime, address admin);transfer(address _to, uint _value);transferFrom(address _from, address _to, uint _value);burn(uint _value);burnFrom(address _from, uint256 _value);Whitelist(address _owner, address _sale);accept(address a, uint amountInWei);setSale(address sale_);getCap(address _user);contributorCap(address contributor);eligible(address contributor, uint amountInWei);eligibleTestAndIncrement(address contributor, uint amountInWei);saleEnded();saleStarted();publicSaleStarted();setHaltSale(bool halt);buy(address recipient);sendETHToMultiSig(uint value);finalizeSale();emergencyDrain(ERC20 anyToken);debugBuy()"
DennisBPeterson/Fairsale,fairsale.sol,"Fairsale(uint _blocks, uint _target);_deposit();deposit();withdrawRefund();fundOwner()"
winsvega/solidity,test/libsolidity/syntaxTests/parsing/fallback_function.sol,""
ethereum/solidity,test/libsolidity/semanticTests/structs/struct_memory_to_storage_function_ptr.sol,f();g()
szerintedmi/numbergame,contracts/NumberGame.sol,"NumberGame();function();getOraclizeCbAddress();latestRoundId();getRequiredBetAmount(uint roundId);getTotalPot(uint _roundId);getWinnablePot(uint _roundId);getFeeAmount(uint _roundId);getOraclizePrice(string _dataSource);getGameInfo();getRoundInfo(uint roundId);getBet(uint roundId, address playerAddress);setNextRoundLength(uint _nextRoundLength);setNextRoundFee(uint32 _nextRoundFee);startNewRound();verifyBet(uint roundId, uint value);placeBet(uint roundId, string encryptedBet);__callback(bytes32 queryId, string result);revealBet(address playerAddress, string result);checkAndCloseRound(bool forceClose);deductFee();payWinner();refundPlayers(uint _totalRefund)"
bobsummerwill/solidity,test/libsolidity/smtCheckerTests/types/function_type_external_address.sol,"f(address a, function(uint)"
ethereum/solidity,test/libsolidity/syntaxTests/conversion/function_cast_value_set.sol,f()
ethereum/solidity,test/libsolidity/semanticTests/array/function_memory_array.sol,"a(uint256 x);b(uint256 x);c(uint256 x);d(uint256 x);e(uint256 x);test(uint256 x, uint256 i)"
winsvega/solidity,test/libsolidity/syntaxTests/nameAndTypeResolution/570_function_type_undeclared_type.sol,a(function(Nested)
bobsummerwill/solidity,test/libsolidity/syntaxTests/nameAndTypeResolution/570_function_type_undeclared_type.sol,a(function(Nested)
ethereum/solidity,test/libsolidity/smtCheckerTests/typecast/function_type_to_function_type_external.sol,f(function(uint)
TruLtd/tru-reputation-token,contracts/test-helpers/MockFailUpgradeAgent.sol,"isUpgradeAgent();upgradeFrom(address _from, uint256 _value);changeSupply()"
ethereum/solidity,test/libsolidity/semanticTests/functionTypes/store_function.sol,addTwo(uint256 x);store(function(uint);eval(function(uint);t()
iam-dev/ERC23,installed_contracts/zeppelin-solidity/contracts/ownership/HasNoEther.sol,HasNoEther();reclaimEther()
ethereum/solidity,test/libsolidity/syntaxTests/abiEncoder/external_functions_taking_internal_types_struct_with_function_type.sol,f(S memory)
GazeCoin/GazeCoinTokenContract,test/GazeCoinCrowdsale.sol,"balanceOf(address account);transfer(address to, uint value);transferFrom(address from, address to, uint value);approve(address spender, uint value);allowance(address owner, address spender);Owned();transferOwnership(address _newOwner);acceptOwnership();add(uint a, uint b);sub(uint a, uint b);mul(uint a, uint b);div(uint a, uint b);GazeCoin();balanceOf(address account);transfer(address to, uint tokens);approve(address spender, uint tokens);transferFrom(address from, address to, uint tokens);allowance(address owner, address spender );mint(address to, uint tokens);multiMint(address[] to, uint[] amount);GazeCoinCrowdsale();addToWhitelist(address[] addresses, uint[] amounts);addPrecommitment(address participant, uint tokens, uint ethers);proxyPayment(address contributor);finalise();transfer(address to, uint tokens);transferFrom(address from, address to, uint tokens)"
shellygr/ECFChecker,RunningExample/SimpleDAO-and-Mallory.sol,donate(address to);withdraw(uint amount);queryCredit(address to);Mallory(SimpleDAO addr);getJackpot()
bobsummerwill/solidity,test/libsolidity/semanticTests/types/external_function_to_address.sol,f();g(function()
adklempner/solidity-license,contracts/zeppelin/MultisigWallet.sol,"MultisigWallet(address[] _owners, uint256 _required, uint256 _daylimit);destroy(address _to);execute(address _to, uint256 _value, bytes _data);confirm(bytes32 _h);setDailyLimit(uint256 _newLimit);resetSpentToday();clearPending()"
LindaHealthcareICO/linda-crowdsale,contracts/zeppelin/MultisigWallet.sol,"MultisigWallet(address[] _owners, uint256 _required, uint256 _daylimit);destroy(address _to);execute(address _to, uint256 _value, bytes _data);confirm(bytes32 _h);setDailyLimit(uint256 _newLimit);resetSpentToday();clearPending()"
adamdossa/ProfitSharingContract,installed_contracts/zeppelin/contracts/MultisigWallet.sol,"MultisigWallet(address[] _owners, uint256 _required, uint256 _daylimit);destroy(address _to);execute(address _to, uint256 _value, bytes _data);confirm(bytes32 _h);setDailyLimit(uint256 _newLimit);resetSpentToday();clearPending()"
ConsenSys/live-libs,contracts/LiveLibs.sol,"LiveLibs(LibFund lf);setLibFund(LibFund lf);register(bytes32 libName, uint versionNum, address a, string abi, uint thresholdWei);registerResource(bytes32 libName, uint versionNum, bytes32 key, string uri);transferLibOwnership(bytes32 libName, address newOwner);get(bytes32 libName, uint versionNum);getResource(bytes32 libName, uint versionNum, bytes32 key);getVersions(bytes32 libName);allNames();stringsEqual(string storage _a, string memory _b)"
raiden-network/raiden-token,contracts/test/foundation_multisig.sol,"multiowned(address[] _owners, uint _required);revoke(bytes32 _operation);changeOwner(address _from, address _to);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirmAndCheck(bytes32 _operation);reorganizeOwners();clearPending();daylimit(uint _limit);setDailyLimit(uint _newLimit);resetSpentToday();underLimit(uint _value);today();changeOwner(address _from, address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);Wallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);clearPending()"
vaporry/dapp-bin,registrar/GlobalRegistrar.sol,"addr(string _name);name(address _owner);owner(string _name);addr(string _name);subRegistrar(string _name);content(string _name);name(address _owner);onAuctionEnd(string _name);bid(string _name, address _bidder, uint _value);Registrar();onAuctionEnd(string _name);reserve(string _name);requiresAuction(string _name);transfer(string _name, address _newOwner);disown(string _name);setAddress(string _name, address _a, bool _primary);setSubRegistrar(string _name, address _registrar);setContent(string _name, bytes32 _content);stringsEqual(string storage _a, string memory _b);owner(string _name);addr(string _name);subRegistrar(string _name);content(string _name);name(address _addr);__throw()"
LianaHus/dapp-bin,registrar/GlobalRegistrar.sol,"addr(string _name);name(address _owner);owner(string _name);addr(string _name);subRegistrar(string _name);content(string _name);name(address _owner);onAuctionEnd(string _name);bid(string _name, address _bidder, uint _value);Registrar();onAuctionEnd(string _name);reserve(string _name);requiresAuction(string _name);transfer(string _name, address _newOwner);disown(string _name);setAddress(string _name, address _a, bool _primary);setSubRegistrar(string _name, address _registrar);setContent(string _name, bytes32 _content);stringsEqual(string storage _a, string memory _b);owner(string _name);addr(string _name);subRegistrar(string _name);content(string _name);name(address _addr);__throw()"
OR13/car2go,contracts/MeshPoint.sol,"MeshPoint(string _name, address _creator);setBlockLimit(uint limit);getBlockLimit();setSendAmount(uint256 val);getSendAmount();getBalance();getRequestorAddresses();getRemainingBlocks();addRequestorAddress(address _requestor);authorizeRequestorAddress(address _requestor);revokeRequestorAddress(address _requestor);isAddressAuthorized(address _address);sendWei(address recp);getWei()"
winsvega/solidity,test/libsolidity/syntaxTests/types/mapping/function_type_return_external.sol,f(function()
bobsummerwill/solidity,test/libsolidity/syntaxTests/types/mapping/function_type_return_external.sol,f(function()
ethereum/solidity,test/libsolidity/semanticTests/events/event_indexed_function.sol,f()
ethereum/remix,remix-analyzer/test/analysis/test-contracts/solidity-v0.5/selfdestruct.sol,""
zchn/ethereum-analyzer,examples/co2.unica.it/ethereum/SimpleDAO_0.4.2.sol,donate(address to);withdraw(uint amount);queryCredit(address to);Mallory(SimpleDAO addr);getJackpot();attack();getJackpot()
Atzen2/hacking-law-proto,truffle/node_modules/zeppelin-solidity/contracts/MultisigWallet.sol,"MultisigWallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);setDailyLimit(uint _newLimit);resetSpentToday();clearPending()"
Atzen2/hacking-law-proto,truffle/contracts/zeppelin/MultisigWallet.sol,"MultisigWallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);setDailyLimit(uint _newLimit);resetSpentToday();clearPending()"
winsvega/solidity,test/libsolidity/syntaxTests/nameAndTypeResolution/075_fallback_function_with_arguments.sol,""
BSDStudios/parity,js/src/contracts/snippets/enhanced-wallet.sol,"isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirm(bytes32 _h);setDailyLimit(uint _newLimit);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);revoke(bytes32 _operation);changeOwner(address _from, address _to);execute(address _to, uint _value, bytes _data);initMultiowned(address[] _owners, uint _required);revoke(bytes32 _operation);changeOwner(address _from, address _to);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirmAndCheck(bytes32 _operation);reorganizeOwners();clearPending();initDaylimit(uint _limit);setDailyLimit(uint _newLimit);resetSpentToday();underLimit(uint _value);today();initWallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);clearWalletPending();Wallet(address[] _owners, uint _required, uint _daylimit);getOwner(uint ownerIndex);hasConfirmed(bytes32 _operation, address _owner);isOwner(address _addr)"
immartian/musicoin,js/src/contracts/snippets/enhanced-wallet.sol,"isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirm(bytes32 _h);setDailyLimit(uint _newLimit);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);revoke(bytes32 _operation);changeOwner(address _from, address _to);execute(address _to, uint _value, bytes _data);initMultiowned(address[] _owners, uint _required);revoke(bytes32 _operation);changeOwner(address _from, address _to);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirmAndCheck(bytes32 _operation);reorganizeOwners();clearPending();initDaylimit(uint _limit);setDailyLimit(uint _newLimit);resetSpentToday();underLimit(uint _value);today();initWallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);clearWalletPending();Wallet(address[] _owners, uint _required, uint _daylimit);getOwner(uint ownerIndex);hasConfirmed(bytes32 _operation, address _owner);isOwner(address _addr)"
jesuscript/parity,js/src/contracts/snippets/enhanced-wallet.sol,"isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirm(bytes32 _h);setDailyLimit(uint _newLimit);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);revoke(bytes32 _operation);changeOwner(address _from, address _to);execute(address _to, uint _value, bytes _data);initMultiowned(address[] _owners, uint _required);revoke(bytes32 _operation);changeOwner(address _from, address _to);addOwner(address _owner);removeOwner(address _owner);changeRequirement(uint _newRequired);isOwner(address _addr);hasConfirmed(bytes32 _operation, address _owner);confirmAndCheck(bytes32 _operation);reorganizeOwners();clearPending();initDaylimit(uint _limit);setDailyLimit(uint _newLimit);resetSpentToday();underLimit(uint _value);today();initWallet(address[] _owners, uint _required, uint _daylimit);kill(address _to);execute(address _to, uint _value, bytes _data);confirm(bytes32 _h);clearWalletPending();Wallet(address[] _owners, uint _required, uint _daylimit);getOwner(uint ownerIndex);hasConfirmed(bytes32 _operation, address _owner);isOwner(address _addr)"
ethereum/remix,remix-analyzer/test/analysis/test-contracts/solidity-v0.4.24/selfdestruct.sol,""
erooijak/ethlance,resources/public/contracts/src/userLibrary.sol,"getUserCount(address db);userExists(address db, address userId);getAllUsers(address db);setStatus(address db, address userId, uint8 status);setFreelancerSkills(address db, address userId, uint[] skills);getFreelancerSkills(address db, address userId);setFreelancerCategories(address db, address userId, uint[] categories);getFreelancerCategories(address db, address userId);setUserNotifications(address db, address userId, bool[] boolNotifSettings, uint8[] uint8NotifSettings);addReceivedMessage(address db, address userId, uint messageId);addSentMessage(address db, address userId, uint messageId);isActiveEmployer(address db, address userId);isActiveFreelancer(address db, address userId);hasStatus(address db, address userId, uint8 status);getStatus(address db, address userId);setUserLanguages(address db, address userId, uint[] languages);addEmployerJob(address db, address userId, uint jobId);getEmployerJobs(address db, address userId);getFreelancerContractsCount(address db, address userId);addFreelancerContract(address db, address userId, uint contractId);getFreelancerContracts(address db, address userId);addEmployerContract(address db, address userId, uint contractId);getEmployerContracts(address db, address userId);addFreelancerTotalInvoiced(address db, address userId, uint amount);subFreelancerTotalInvoiced(address db, address userId, uint amount);addEmployerTotalInvoiced(address db, address userId, uint amount);subEmployerTotalInvoiced(address db, address userId, uint amount);addSponsorship(address db, address userId, uint sponsorshipId);addTotalSponsored(address db, address userId, uint amount);subTotalSponsored(address db, address userId, uint amount);getSponsorships(address db, address userId);getSponsorships(address db, address userId, bool isRefunded);userSponsorshipsPred(address db, uint[] args, uint sponsorshipId);addToAvgRating(address db, address userId, string countKey, string key, uint8 rating);addToFreelancerAvgRating(address db, address userId, uint8 rating);getFreelancerAvgRating(address db, address userId);addToEmployerAvgRating(address db, address userId, uint8 rating);getEmployerAvgRating(address db, address userId);addToFreelancerTotalEarned(address db, address userId, uint amount);addToEmployerTotalPaid(address db, address userId, uint amount);isFromCountry(address db, address userId, uint countryId);isFromState(address db, address userId, uint stateId);hasMinRating(address db, address userId, uint8 minAvgRating);hasFreelancerMinRatingsCount(address db, address userId, uint minRatingsCount);getFreelancerHourlyRate(address db, address userId);getFreelancerHourlyRateCurrency(address db, address userId);hasHourlyRateWithinRange(address db, address userId, uint[] minHourlyRates, uint[] maxHourlyRates);hasLanguage(address db, address userId, uint languageId);hasJobRecommendations(address db, address userId, uint jobRecommendations);isFreelancerAvailable(address db, address userId);userContractsPred(address db, uint[] contractStatuses, uint[] jobStatuses, uint contractId);getFreelancerContractsByStatus(address db, address userId, uint[] contractStatuses, uint[] jobStatuses);getEmployerContractsByStatus(address db, address userId, uint[] contractStatuses, uint[] jobStatuses);getFreelancerInvoicesByStatus(address db, address userId, uint8 invoiceStatus);getEmployerInvoicesByStatus(address db, address userId, uint8 invoiceStatus)"
